Date,Open,High,Low,Close,Adj Close,Volume
2014-03-03,1834.439941,1835.270020,1813.599976,1824.689941,1824.689941,130074800
2014-03-04,1820.910034,1826.459961,1818.859985,1826.459961,1826.459961,134203700
2014-03-05,1830.449951,1831.619995,1828.010010,1829.109985,1829.109985,121027100
2014-03-06,1829.119995,1838.689941,1828.040039,1838.689941,1838.689941,140395100
2014-03-07,1834.280029,1836.479980,1831.869995,1832.260010,1832.260010,97258000
2014-03-10,1826.380005,1827.290039,1817.199951,1822.060059,1822.060059,127615100
2014-03-11,1823.540039,1828.729980,1823.540039,1828.550049,1828.550049,145394900
2014-03-12,1827.329956,1827.329956,1813.489990,1818.599976,1818.599976,150885200
2014-03-13,1820.339966,1821.569946,1816.760010,1818.859985,1818.859985,136052500
2014-03-14,1817.079956,1817.079956,1805.119995,1805.119995,1805.119995,148488900
2014-03-17,1806.150024,1815.160034,1802.880005,1815.160034,1815.160034,108928900
2014-03-18,1813.540039,1820.699951,1813.540039,1820.699951,1820.699951,138998200
2014-03-19,1819.560059,1821.329956,1815.989990,1817.439941,1817.439941,110777500
2014-03-20,1814.290039,1818.170044,1811.160034,1818.170044,1818.170044,133764600
2014-03-21,1818.660034,1821.689941,1816.849976,1820.479980,1820.479980,238355500
2014-03-24,1821.680054,1834.229980,1821.030029,1833.849976,1833.849976,108220500
2014-03-25,1826.859985,1837.170044,1824.930054,1837.170044,1837.170044,110685300
2014-03-26,1834.969971,1839.959961,1834.800049,1839.140015,1839.140015,109400400
2014-03-27,1836.140015,1846.869995,1836.109985,1846.869995,1846.869995,135346100
2014-03-28,1837.569946,1850.729980,1837.569946,1850.729980,1850.729980,145522500
2014-03-31,1851.670044,1852.290039,1839.030029,1849.209961,1849.209961,166672500
2014-04-01,1846.099976,1847.760010,1842.060059,1847.760010,1847.760010,119990000
2014-04-02,1846.819946,1854.010010,1846.819946,1852.000000,1852.000000,156456900
2014-04-03,1854.319946,1855.630005,1847.810059,1855.630005,1855.630005,169675500
2014-04-04,1862.989990,1869.089966,1856.270020,1856.609985,1856.609985,161162400
2014-04-07,1856.520020,1862.900024,1853.439941,1862.900024,1862.900024,139064600
2014-04-08,1861.030029,1861.189941,1851.369995,1852.310059,1852.310059,124264400
2014-04-09,1852.810059,1856.030029,1851.410034,1855.750000,1855.750000,147108800
2014-04-10,1859.489990,1860.280029,1855.560059,1859.520020,1859.520020,130749800
2014-04-11,1854.849976,1854.890015,1848.189941,1852.660034,1852.660034,108070800
2014-04-14,1851.099976,1854.520020,1847.920044,1851.530029,1851.530029,94904000
2014-04-15,1848.310059,1853.880005,1847.359985,1853.880005,1853.880005,123619500
2014-04-16,1854.619995,1854.619995,1845.369995,1845.369995,1845.369995,103539800
2014-04-17,1847.400024,1852.130005,1847.400024,1850.540039,1850.540039,90765100
2014-04-18,1848.699951,1854.069946,1847.380005,1852.689941,1852.689941,50634500
2014-04-21,1851.609985,1864.939941,1849.680054,1862.930054,1862.930054,64269300
2014-04-22,1862.900024,1866.420044,1861.900024,1866.420044,1866.420044,139176800
2014-04-23,1866.619995,1870.890015,1864.910034,1867.349976,1867.349976,146142600
2014-04-24,1864.290039,1866.319946,1863.510010,1865.280029,1865.280029,101402000
2014-04-25,1866.369995,1868.290039,1859.949951,1860.979980,1860.979980,92139300
2014-04-28,1861.540039,1862.969971,1855.739990,1855.739990,1855.739990,99433000
2014-04-29,1852.270020,1859.339966,1852.270020,1859.339966,1859.339966,131449400
2014-04-30,1859.319946,1871.520020,1857.069946,1871.520020,1871.520020,194367200
2014-05-02,1869.500000,1871.689941,1866.050049,1869.079956,1869.079956,103778400
2014-05-05,1866.930054,1869.380005,1860.540039,1860.540039,1860.540039,71044900
2014-05-06,1860.349976,1864.229980,1856.849976,1860.430054,1860.430054,61088900
2014-05-07,1861.369995,1861.609985,1853.310059,1860.430054,1860.430054,110711000
2014-05-08,1861.660034,1863.939941,1860.599976,1862.839966,1862.839966,119570700
2014-05-09,1859.699951,1866.719971,1859.010010,1866.719971,1866.719971,119270000
2014-05-12,1863.130005,1867.400024,1863.079956,1866.079956,1866.079956,87328000
2014-05-14,1874.189941,1879.640015,1873.349976,1879.199951,1879.199951,177729800
2014-05-15,1878.010010,1881.030029,1876.390015,1879.829956,1879.829956,157782500
2014-05-16,1879.819946,1883.339966,1877.040039,1883.339966,1883.339966,152187500
2014-05-19,1884.880005,1889.469971,1884.310059,1887.069946,1887.069946,149909800
2014-05-20,1886.140015,1888.130005,1877.630005,1881.160034,1881.160034,125198900
2014-05-21,1881.829956,1882.270020,1874.140015,1877.030029,1877.030029,139330700
2014-05-22,1878.089966,1882.280029,1871.500000,1875.119995,1875.119995,151403900
2014-05-23,1878.390015,1878.540039,1866.339966,1869.219971,1869.219971,121738900
2014-05-26,1868.229980,1871.140015,1862.270020,1862.800049,1862.800049,133365200
2014-05-27,1864.199951,1869.790039,1862.520020,1867.569946,1867.569946,119883300
2014-05-28,1865.229980,1871.660034,1864.979980,1871.660034,1871.660034,148731900
2014-05-29,1872.239990,1878.670044,1869.770020,1876.619995,1876.619995,139887800
2014-05-30,1874.469971,1880.839966,1873.380005,1873.380005,1873.380005,477552300
2014-06-02,1867.800049,1876.170044,1861.479980,1864.250000,1864.250000,159781600
2014-06-03,1866.369995,1872.550049,1866.369995,1872.550049,1872.550049,169890000
2014-06-04,1868.630005,1869.599976,1862.839966,1865.199951,1865.199951,88657300
2014-06-05,1869.979980,1870.599976,1863.109985,1869.000000,1869.000000,172564600
2014-06-06,1870.609985,1870.609985,1860.199951,1862.699951,1862.699951,81733000
2014-06-09,1868.589966,1868.770020,1860.239990,1863.689941,1863.689941,87658600
2014-06-10,1864.109985,1876.609985,1863.939941,1876.609985,1876.609985,153857400
2014-06-11,1879.469971,1879.910034,1873.589966,1878.380005,1878.380005,127826300
2014-06-12,1877.670044,1877.670044,1872.270020,1873.869995,1873.869995,91115200
2014-06-13,1871.069946,1876.739990,1870.089966,1876.739990,1876.739990,79624700
2014-06-16,1875.520020,1875.900024,1871.280029,1871.579956,1871.579956,80239000
2014-06-17,1874.099976,1876.219971,1870.099976,1874.599976,1874.599976,118116600
2014-06-18,1874.410034,1876.589966,1872.089966,1876.579956,1876.579956,116972200
2014-06-19,1875.400024,1881.479980,1872.640015,1881.479980,1881.479980,108200900
2014-06-20,1885.359985,1887.540039,1878.680054,1885.719971,1885.719971,151879300
2014-06-23,1884.739990,1885.329956,1881.819946,1883.959961,1883.959961,109655300
2014-06-24,1884.300049,1892.329956,1882.140015,1892.329956,1892.329956,133961900
2014-06-25,1889.530029,1891.640015,1887.680054,1889.550049,1889.550049,109233300
2014-06-26,1888.739990,1889.969971,1882.250000,1889.969971,1889.969971,105810300
2014-06-27,1889.339966,1889.339966,1880.250000,1880.930054,1880.930054,94465800
2014-06-30,1879.829956,1882.709961,1877.520020,1882.709961,1882.709961,131157100
2014-07-01,1879.239990,1880.290039,1876.599976,1879.119995,1879.119995,76764400
2014-07-02,1879.010010,1886.839966,1877.839966,1886.839966,1886.839966,116807900
2014-07-03,1885.459961,1891.099976,1884.770020,1888.689941,1888.689941,120773100
2014-07-04,1889.290039,1891.430054,1884.910034,1884.910034,1884.910034,86535300
2014-07-07,1885.400024,1894.719971,1885.290039,1892.500000,1892.500000,117077500
2014-07-08,1893.890015,1896.229980,1891.660034,1892.650024,1892.650024,132327700
2014-07-09,1888.430054,1892.170044,1887.959961,1891.160034,1891.160034,95831200
2014-07-10,1889.969971,1893.189941,1889.530029,1892.619995,1892.619995,93093000
2014-07-11,1894.469971,1894.859985,1883.150024,1883.150024,1883.150024,140206500
2014-07-14,1883.770020,1886.869995,1882.219971,1884.869995,1884.869995,89680800
2014-07-16,1891.589966,1895.020020,1882.520020,1886.709961,1886.709961,144454700
2014-07-17,1888.150024,1888.150024,1879.400024,1883.140015,1883.140015,104399400
2014-07-18,1874.609985,1877.339966,1871.400024,1872.969971,1872.969971,103248800
2014-07-21,1874.339966,1876.829956,1867.339966,1868.640015,1868.640015,98947000
2014-07-22,1873.619995,1874.000000,1868.030029,1871.359985,1871.359985,91612900
2014-07-23,1870.410034,1873.699951,1869.390015,1871.829956,1871.829956,75032300
