Date,Open,High,Low,Close
13-Sep-13,"1,389.62","1,413.28","1,387.86","1,401.08"
12-Sep-13,"1,414.44","1,422.19","1,397.90","1,397.90"
11-Sep-13,"1,395.80","1,411.61","1,381.12","1,411.18"
10-Sep-13,"1,395.30","1,413.98","1,384.47","1,393.17"
9-Sep-13,"1,353.35","1,384.31","1,352.85","1,384.31"
6-Sep-13,"1,315.57","1,337.03","1,312.92","1,336.25"
5-Sep-13,"1,309.03","1,326.56","1,306.48","1,313.49"
4-Sep-13,"1,310.97","1,319.14","1,301.37","1,303.21"
3-Sep-13,"1,323.11","1,334.15","1,312.63","1,315.41"
2-Sep-13,"1,298.99","1,323.70","1,296.35","1,323.70"
30-Aug-13,"1,300.44","1,301.96","1,285.05","1,294.30"
29-Aug-13,"1,283.00","1,293.90","1,273.70","1,292.53"
28-Aug-13,"1,272.33","1,294.08","1,260.08","1,275.76"
27-Aug-13,"1,321.66","1,322.72","1,290.27","1,293.97"
26-Aug-13,"1,347.69","1,354.39","1,328.51","1,329.18"
23-Aug-13,"1,368.56","1,370.40","1,337.99","1,338.13"
22-Aug-13,"1,341.66","1,355.87","1,325.78","1,351.81"
21-Aug-13,"1,355.54","1,374.02","1,354.02","1,355.14"
20-Aug-13,"1,378.87","1,379.27","1,353.02","1,370.86"
19-Aug-13,"1,437.77","1,438.78","1,398.37","1,398.48"
16-Aug-13,"1,441.72","1,452.20","1,440.74","1,445.76"
15-Aug-13,"1,458.51","1,461.34","1,447.82","1,453.07"
14-Aug-13,"1,457.25","1,462.66","1,451.71","1,460.63"
13-Aug-13,"1,443.25","1,459.08","1,442.08","1,459.08"
9-Aug-13,"1,446.26","1,446.47","1,430.41","1,432.25"
8-Aug-13,"1,439.76","1,455.08","1,439.10","1,447.16"
7-Aug-13,"1,420.11","1,434.98","1,417.43","1,429.99"
6-Aug-13,"1,411.97","1,440.25","1,409.87","1,429.39"
5-Aug-13,"1,416.78","1,427.93","1,405.71","1,424.31"
2-Aug-13,"1,440.43","1,442.17","1,408.57","1,420.94"
1-Aug-13,"1,437.58","1,443.65","1,425.51","1,437.51"
31-Jul-13,"1,436.56","1,437.39","1,403.08","1,423.14"
30-Jul-13,"1,458.47","1,465.27","1,435.44","1,435.44"
29-Jul-13,"1,461.95","1,462.97","1,451.77","1,454.28"
26-Jul-13,"1,461.30","1,476.71","1,445.28","1,476.71"
25-Jul-13,"1,493.58","1,494.56","1,456.52","1,456.68"
24-Jul-13,"1,512.23","1,519.21","1,496.88","1,501.36"
23-Jul-13,"1,501.68","1,513.32","1,497.59","1,513.31"
19-Jul-13,"1,489.30","1,489.66","1,475.59","1,481.84"
18-Jul-13,"1,465.00","1,487.31","1,464.73","1,487.19"
17-Jul-13,"1,457.98","1,463.65","1,452.69","1,458.08"
16-Jul-13,"1,453.60","1,456.43","1,437.11","1,451.45"
15-Jul-13,"1,463.81","1,464.72","1,449.54","1,455.40"
12-Jul-13,"1,454.76","1,459.55","1,441.96","1,453.71"
11-Jul-13,"1,409.37","1,447.04","1,408.49","1,447.04"
10-Jul-13,"1,402.02","1,406.32","1,375.52","1,388.41"
9-Jul-13,"1,408.03","1,417.94","1,398.45","1,398.69"
8-Jul-13,"1,425.13","1,429.80","1,404.46","1,404.64"
5-Jul-13,"1,443.89","1,446.83","1,430.38","1,441.33"
4-Jul-13,"1,450.36","1,453.77","1,423.94","1,430.88"
3-Jul-13,"1,454.85","1,463.90","1,435.01","1,443.57"
2-Jul-13,"1,464.76","1,475.08","1,452.77","1,463.98"
28-Jun-13,"1,464.83","1,468.74","1,446.91","1,451.90"
27-Jun-13,"1,450.64","1,459.30","1,419.64","1,446.45"
26-Jun-13,"1,400.71","1,425.01","1,390.37","1,424.38"
25-Jun-13,"1,373.35","1,393.03","1,338.81","1,384.63"
24-Jun-13,"1,389.49","1,404.85","1,363.80","1,364.09"
21-Jun-13,"1,377.15","1,406.37","1,354.62","1,400.50"
20-Jun-13,"1,396.70","1,413.39","1,390.33","1,402.19"
19-Jun-13,"1,443.33","1,449.12","1,415.00","1,437.70"
18-Jun-13,"1,469.19","1,492.28","1,427.40","1,427.42"
17-Jun-13,"1,470.13","1,474.75","1,448.13","1,471.04"
14-Jun-13,"1,442.02","1,465.65","1,439.73","1,465.27"
13-Jun-13,"1,382.29","1,411.87","1,351.95","1,403.27"
